Brand,Year, Price ,Kms_Driven,Fuel_Type,Transmission
ritz,2014, ? 5.59 ,27000,Petrol,Manual
sx4,2013, ? 9.54 ,43000,Diesel,Manual
ciaz,2017, ? 9.85 ,6900,Petrol,Manual
wagon r,2011, ? 4.15 ,5200,Petrol,Manual
swift,2014, ? 6.87 ,42450,Diesel,Manual
vitara brezza,2018, ? 9.83 ,2071,Diesel,Manual
ciaz,2015, ? 8.12 ,18796,Petrol,Manual
s cross,2015, ? 8.61 ,33429,Diesel,Manual
ciaz,2016, ? 8.89 ,20273,Diesel,Manual
ciaz,2015, ? 8.92 ,42367,Diesel,Manual
alto 800,2017, ? 3.60 ,2135,Petrol,Manual
ciaz,2015, ? 10.38 ,51000,Diesel,Manual
ciaz,2015, ? 9.94 ,15000,Petrol,Automatic
ertiga,2015, ? 7.71 ,26000,Petrol,Manual
dzire,2009, ? 7.21 ,77427,Petrol,Manual
ertiga,2016, ? 10.79 ,43000,Diesel,Manual
ertiga,2015, ? 10.79 ,41678,Diesel,Manual
ertiga,2016, ? 10.79 ,43000,Diesel,Manual
wagon r,2015, ? 5.09 ,35500,CNG,Manual
sx4,2010, ? 7.98 ,41442,Petrol,Manual
alto k10,2016, ? 3.95 ,25000,Petrol,Manual
ignis,2017, ? 5.71 ,2400,Petrol,Manual
sx4,2011, ? 8.01 ,50000,Petrol,Automatic
alto k10,2014, ? 3.46 ,45280,Petrol,Manual
wagon r,2013, ? 4.41 ,56879,Petrol,Manual
swift,2011, ? 4.99 ,20000,Petrol,Manual
swift,2013, ? 5.87 ,55138,Petrol,Manual
swift,2017, ? 6.49 ,16200,Petrol,Manual
alto k10,2010, ? 3.95 ,44542,Petrol,Manual
ciaz,2015, ? 10.38 ,45000,Diesel,Manual
ritz,2012, ? 5.98 ,51439,Diesel,Manual
ritz,2011, ? 4.89 ,54200,Petrol,Manual
swift,2014, ? 7.49 ,39000,Diesel,Manual
ertiga,2014, ? 9.95 ,45000,Diesel,Manual
dzire,2014, ? 8.06 ,45000,Diesel,Manual
sx4,2011, ? 7.74 ,49998,CNG,Manual
dzire,2015, ? 7.20 ,48767,Petrol,Manual
800,2003, ? 2.28 ,127000,Petrol,Manual
alto k10,2016, ? 3.76 ,10079,Petrol,Manual
sx4,2003, ? 7.98 ,62000,Petrol,Manual
baleno,2016, ? 7.87 ,24524,Petrol,Automatic
alto k10,2014, ? 3.98 ,46706,Petrol,Manual
sx4,2008, ? 7.15 ,58000,Petrol,Manual
dzire,2014, ? 8.06 ,45780,Diesel,Manual
omni,2012, ? 2.69 ,50000,Petrol,Manual
