Brand,Fuel_Type,Transmission,fuel_tank_capacity
Maruti Alto K10,Petrol,Automatic,27
Maruti Brezza,Petrol,Automatic,48
Mahindra Thar,Diesel,Automatic,57
Mahindra XUV700,Diesel,Automatic,60
Mahindra Scorpio-N,Diesel,Automatic,57
Toyota Fortuner,Diesel,Automatic,80
Hyundai Creta,Diesel,Automatic,50
Tata Punch,Petrol,Automatic,37
Mahindra Bolero,Diesel,Manual,60
Maruti Swift,Petrol,Automatic,37
Tata Nexon,Diesel,Automatic,44
Hyundai Venue,Petrol,Automatic,45
Kia Seltos,Diesel,Automatic,50
Hyundai Tucson,Diesel,Automatic,54
Tata Harrier,Diesel,Automatic,50
Maruti Baleno,Petrol,Automatic,37
Toyota Innova Crysta,Diesel,Automatic,55
Maruti Ertiga,Petrol,Automatic,45
Kia Sonet,Diesel,Automatic,45
Maruti Dzire,Petrol,Automatic,37
Honda City 4th Generation,Petrol,Manual,40
Land Rover Range Rover,Petrol,Automatic,90
Tata Tiago,CNG,Manual,60
Hyundai i20,Petrol,Automatic,37
Mahindra XUV300,Diesel,Automatic,42
MG Hector,Diesel,Manual,60
Tata Altroz,Diesel,Manual,37
Mahindra Scorpio Classic,Diesel,Manual,60
Hyundai Verna,Diesel,Automatic,45
Citroen C3,Petrol,Manual,30
Honda City,Diesel,Manual,40
Maruti Celerio,Petrol,Automatic,32
Nissan Magnite,Petrol,Automatic,40
Renault KWID,Petrol,Automatic,28
Land Rover Defender,Petrol,Automatic,89
Maruti Alto 800,CNG,Manual,60
Hyundai Kona Electric,Electric,Electric,0
Tata Tigor,CNG,Manual,60
Renault Kiger,Petrol,Automatic,40
Maruti S-Presso,Petrol,Automatic,27
MG Astor,Petrol,Automatic,45
Lamborghini Urus,Petrol,Automatic,75
Honda Amaze,Diesel,Automatic,35
Renault Triber,Petrol,Automatic,40
Hyundai Alcazar,Diesel,Automatic,50
Hyundai Aura,Petrol,Manual,37
Volkswagen Virtus,Petrol,Automatic,45
Skoda Slavia,Petrol,Automatic,45
Maruti Ignis,Petrol,Automatic,32
Mercedes-Benz GLA,Diesel,Automatic,0
Volvo XC90,Petrol,Automatic,68
Skoda Kushaq,Petrol,Automatic,50
Maruti XL6,Petrol,Automatic,45
Jeep Wrangler,Petrol,Automatic,0
Maruti Eeco,Petrol,Manual,65
Force Gurkha,Diesel,Manual,63
Maruti S-Cross,Petrol,Automatic,48
Maruti Ciaz,Petrol,Automatic,43
Hyundai Santro,CNG,Manual,60
Volkswagen Taigun,Petrol,Automatic,50
BMW X7,Diesel,Automatic,80
Audi Q7,Petrol,Automatic,0
Toyota Vellfire,Petrol,Automatic,58
Toyota Hilux,Diesel,Automatic,80
MG Gloster,Diesel,Automatic,75
Lamborghini Aventador,Petrol,Automatic,90
BMW X1,Diesel,Automatic,51
BMW X5,Petrol,Automatic,0
Toyota Camry,Petrol,Automatic,0
Volkswagen Tiguan,Petrol,Automatic,60
Rolls-Royce Ghost,Petrol,Automatic,0
Skoda Octavia,Petrol,Automatic,50
Skoda Superb,Petrol,Automatic,66
Audi A6,Petrol,Automatic,73
Volvo XC40,Petrol,Automatic,54
Kia EV6,Electric,Electric,0
Volvo S90,Petrol,Automatic,60
Honda Jazz,Petrol,Automatic,40
Land Rover Range Rover Velar,Petrol,Automatic,82
Honda WR-V,Diesel,Manual,40
Volvo XC60,Petrol,Automatic,70
Skoda Kodiaq,Petrol,Automatic,58
Audi A4,Petrol,Automatic,54
BMW X3,Petrol,Automatic,0
BMW Z4,Petrol,Automatic,52
BMW 3 Series Gran Limousine,Petrol,Automatic,59
Nissan Kicks,Petrol,Automatic,50
Mahindra Marazzo,Diesel,Manual,45
Mercedes-Benz C-Class,Diesel,Automatic,0
BMW X6,Petrol,Automatic,83
Mahindra Alturas G4,Diesel,Automatic,70
Bajaj Qute (RE60),CNG,Manual,35
Volkswagen Vento,Petrol,Automatic,55
Audi Q5,Petrol,Manual,0
Ferrari Roma,Petrol,Automatic,80
MG ZS EV,Electric,Electric,0
BMW 7 Series,Petrol,Automatic,46
Mercedes-Benz E-Class,Diesel,Automatic,0
BMW i4,Electric,Electric,0
Land Rover Range Rover Sport,Diesel,Automatic,0
Jaguar F-TYPE,Petrol,Automatic,70
Datsun redi-GO,Petrol,Automatic,28
BMW 2 Series,Diesel,Automatic,51
Isuzu D-Max,Diesel,Automatic,0
BMW 5 Series,Diesel,Automatic,0
Audi Q2,Petrol,Automatic,55
Mercedes-Benz GLS,Petrol,Automatic,90
Porsche Cayenne,Petrol,Automatic,90
Citroen C5 Aircross,Diesel,Automatic,52.5
Datsun GO,Petrol,Automatic,35
Volvo S60,Petrol,Automatic,0
Porsche Macan,Petrol,Automatic,65
Jaguar XE,Petrol,Automatic,61.7
BYD E6,Electric,Electric,0
Jaguar F-Pace,Petrol,Automatic,82
Tata Tiago NRG,Petrol,Automatic,35
Mahindra KUV 100 NXT,Petrol,Manual,35
Mini Cooper SE,Electric,Automatic,0
Audi e-tron,Electric,Electric,0
Datsun GO Plus,Petrol,Automatic,35
Mercedes-Benz AMG G 63,Petrol,Automatic,0
Mercedes-Benz AMG GT,Petrol,Automatic,75
Lexus ES,Petrol,Automatic,65
Porsche Taycan,Electric,Electric,0
Lexus LS,Petrol,Automatic,82
Rolls-Royce Cullinan,Petrol,Automatic,0
Isuzu MU-X,Diesel,Automatic,55
BMW iX,Electric,Electric,0
Bentley Flying Spur,Petrol,Automatic,90
Mercedes-Benz S-Class,Petrol,Automatic,0
Maserati Quattroporte,Petrol,Automatic,80
Jaguar XF,Diesel,Automatic,0
Mercedes-Benz GLC,Diesel,Automatic,66
Ferrari Portofino,Petrol,Automatic,81
Mercedes-Benz Maybach S-Class,Petrol,Automatic,0
Maserati Levante,Petrol,Automatic,80
Tata Yodha Pickup,Diesel,Manual,45
Aston Martin DBX,Diesel,Automatic,85
Bentley Continental,Petrol,Automatic,90
Mercedes-Benz EQS,Electric,Electric,0
Ferrari 812,Petrol,Automatic,92
Audi RS7,Petrol,Automatic,73
Mercedes-Benz AMG GLE 63 S,Petrol,Automatic,0
Mclaren GT,Petrol,Automatic,72
Mercedes-Benz G-Class,Diesel,Automatic,100
Nissan GT-R,Petrol,Automatic,74
BMW M2,Petrol,Automatic,52
Mahindra E Verito,Electric,Electric,0
Rolls Royce Wraith,Petrol,Automatic,83
Mercedes-Benz V-Class,Diesel,Automatic,57
Porsche 911,Petrol,Automatic,64
Porsche Panamera,Petrol,Automatic,0
Mini Cooper Convertible,Petrol,Automatic,44
Maserati Ghibli,Petrol,Automatic,80
Lexus NX,Petrol,Automatic,55
Land Rover Discovery Sport,Petrol,Automatic,70
Bentley Bentayga,Petrol,Automatic,85
Ferrari SF90 Stradale,Petrol,Automatic,68
Strom Motors R3,Electric,Electric,0
Lexus LC 500h,Petrol,Automatic,82
Maserati GranTurismo,Petrol,Automatic,86
Ferrari F8 Tributo,Petrol,Automatic,78
Mercedes-Benz GLE,Diesel,Automatic,93
BMW M4 Competition,Petrol,Automatic,0
BMW 8 Series,Petrol,Automatic,68
Mini Cooper Countryman,Petrol,Automatic,51
Mercedes-Benz A-Class Limousine,Diesel,Automatic,66
Maserati GranCabrio,Diesel,Automatic,75
Mercedes-Benz AMG GLE 53,Petrol,Automatic,85
Aston Martin Vantage,Petrol,Manual,73
Mercedes-Benz EQC,Electric,Automatic,0
Mercedes-Benz AMG C 43,Petrol,Automatic,0
Lexus RX,Petrol,Automatic,65
Hyundai Xcent Prime,CNG,Manual,65
Jaguar I-Pace,Electric,Electric,0
Rolls Royce Dawn,Petrol,Automatic,0
BMW X5 M,Petrol,Automatic,83
Lamborghini Huracan EVO,Petrol,Automatic,80
Mini Cooper 3 DOOR,Petrol,Automatic,44
Mercedes-Benz CLS,Diesel,Automatic,66
Mahindra Bolero PikUp ExtraLong,Diesel,Manual,60
Lexus LX,Petrol,Automatic,93
Mercedes-Benz AMG GLC 43,Petrol,Automatic,0
Mahindra Bolero Camper,Diesel,Manual,57
Tata Nexon EV Max,Electric,Electric,0
Mahindra Bolero Neo,Diesel,Manual,50
Mahindra Bolero Neo,Diesel,Manual,50
Audi e-tron GT,Electric,Electric,0
Maruti Swift Dzire Tour,CNG,Manual,55
Mercedes-Benz AMG A 35,Petrol,Automatic,51
Mercedes-Benz GLC Coupe,Diesel,Automatic,66
Toyota Glanza,Petrol,Automatic,37
Toyota Glanza,Petrol,Automatic,37
Porsche Cayenne Coupe,Petrol,Automatic,0
Porsche Cayenne Coupe,Petrol,Automatic,0
Honda City Hybrid,Petrol,Automatic,40
Compass Trailhawk,Diesel,Automatic,60
Jeep Meridian,Diesel,Automatic,60
Mercedes-Benz AMG A 45 S,Petrol,Automatic,0
BMW 3 Series Gran Limousine,Petrol,Automatic,59
MG Hector Plus,Diesel,Manual,60
Audi RS Q8,Petrol,Automatic,85
Maruti Alto 800 tour,Petrol,Manual,35
