Brand,Year, Price ,Kms_Driven,Fuel_Type,Transmission,kms_Driven,fuel_tank_capacity
ritz,2014.0, ? 5.59 ,27000.0,Petrol,Manual,,
ritz,2011.0, ? 4.89 ,54200.0,Petrol,Manual,,
ritz,2013.0, ? 4.89 ,64532.0,Petrol,Manual,,
sx4,2013.0, ? 9.54 ,43000.0,Diesel,Manual,,
ciaz,2017.0, ? 9.85 ,6900.0,Petrol,Manual,,
ciaz,2015.0, ? 8.12 ,18796.0,Petrol,Manual,,
wagon r,2011.0, ? 4.15 ,5200.0,Petrol,Manual,,
wagon r,2013.0, ? 4.41 ,56879.0,Petrol,Manual,,
wagon r,2006.0, ? 4.15 ,65000.0,Petrol,Manual,,
swift,2014.0, ? 6.87 ,42450.0,Diesel,Manual,,
swift,2014.0, ? 7.49 ,39000.0,Diesel,Manual,,
vitara brezza,2018.0, ? 9.83 ,2071.0,Diesel,Manual,,
s cross,2015.0, ? 8.61 ,33429.0,Diesel,Manual,,
ciaz,2016.0, ? 8.89 ,20273.0,Diesel,Manual,,
ciaz,2015.0, ? 8.92 ,42367.0,Diesel,Manual,,
ciaz,2015.0, ? 10.38 ,51000.0,Diesel,Manual,,
ciaz,2015.0, ? 10.38 ,45000.0,Diesel,Manual,,
alto 800,2017.0, ? 3.60 ,2135.0,Petrol,Manual,,
ciaz,2015.0, ? 9.94 ,15000.0,Petrol,Automatic,,
ciaz,2014.0, ? 12.04 ,15000.0,Petrol,Automatic,,
ciaz,2017.0, ? 9.29 ,37000.0,Petrol,Automatic,,
ertiga,2015.0, ? 7.71 ,26000.0,Petrol,Manual,,
ertiga,2015.0, ? 7.71 ,25870.0,Petrol,Manual,,
dzire,2009.0, ? 7.21 ,77427.0,Petrol,Manual,,
dzire,2015.0, ? 7.20 ,48767.0,Petrol,Manual,,
ertiga,2016.0, ? 10.79 ,43000.0,Diesel,Manual,,
ertiga,2016.0, ? 10.79 ,43000.0,Diesel,Manual,,
ertiga,2015.0, ? 10.79 ,41678.0,Diesel,Manual,,
ertiga,2014.0, ? 9.95 ,45000.0,Diesel,Manual,,
wagon r,2015.0, ? 5.09 ,35500.0,CNG,Manual,,
sx4,2010.0, ? 7.98 ,41442.0,Petrol,Manual,,
sx4,2003.0, ? 7.98 ,62000.0,Petrol,Manual,,
sx4,2008.0, ? 7.15 ,58000.0,Petrol,Manual,,
alto k10,2016.0, ? 3.95 ,25000.0,Petrol,Manual,,
alto k10,2016.0, ? 3.76 ,10079.0,Petrol,Manual,,
alto k10,2014.0, ? 3.46 ,45280.0,Petrol,Manual,,
alto k10,2014.0, ? 3.98 ,46706.0,Petrol,Manual,,
alto k10,2010.0, ? 3.95 ,44542.0,Petrol,Manual,,
ignis,2017.0, ? 5.71 ,2400.0,Petrol,Manual,,
sx4,2011.0, ? 8.01 ,50000.0,Petrol,Automatic,,
swift,2011.0, ? 4.99 ,20000.0,Petrol,Manual,,
swift,2013.0, ? 5.87 ,55138.0,Petrol,Manual,,
swift,2017.0, ? 6.49 ,16200.0,Petrol,Manual,,
ritz,2012.0, ? 5.98 ,51439.0,Diesel,Manual,,
dzire,2014.0, ? 8.06 ,45000.0,Diesel,Manual,,
dzire,2014.0, ? 8.06 ,45780.0,Diesel,Manual,,
sx4,2011.0, ? 7.74 ,49998.0,CNG,Manual,,
800,2003.0, ? 2.28 ,127000.0,Petrol,Manual,,
baleno,2016.0, ? 7.87 ,24524.0,Petrol,Automatic,,
omni,2012.0, ? 2.69 ,50000.0,Petrol,Manual,,
fortuner,2012.0, ? 30.61 ,104707.0,Diesel,Automatic,,
fortuner,2012.0, ? 30.61 ,89000.0,Diesel,Automatic,,
fortuner,2015.0, ? 30.61 ,40000.0,Diesel,Automatic,,
fortuner,2015.0, ? 35.96 ,47000.0,Diesel,Automatic,,
fortuner,2015.0, ? 30.61 ,40000.0,Diesel,Automatic,,
fortuner,2013.0, ? 30.61 ,135000.0,Diesel,Automatic,,
fortuner,2014.0, ? 35.96 ,41000.0,Diesel,Automatic,,
fortuner,2014.0, ? 35.96 ,78000.0,Diesel,Automatic,,
fortuner,2017.0, ? 36.23 ,6000.0,Diesel,Automatic,,
innova,2017.0, ? 19.77 ,15000.0,Diesel,Automatic,,
innova,2017.0, ? 25.39 ,15000.0,Diesel,Automatic,,
innova,2016.0, ? 25.39 ,29000.0,Diesel,Automatic,,
innova,2005.0, ? 10.21 ,90000.0,Petrol,Manual,,
innova,2005.0, ? 13.70 ,75000.0,Petrol,Manual,,
corolla altis,2009.0, ? 15.04 ,70000.0,Petrol,Automatic,,
corolla altis,2010.0, ? 22.83 ,80000.0,Petrol,Automatic,,
